Roll	Pitch	Yaw	Alt	RollSetpoint	PitchSetpoint	YawSetpoint	AltSetpoint
-0.75	-7	52.46	-57.6	0	0	180.36	1066	
-0.75	-6.81	52.47	-57.6	0	0	180.36	1066	
-0.71	-6.48	52.47	-57.6	0	0	180.36	1066	
-0.63	-6.04	52.46	-57.6	0	0	180.36	1066	
-0.54	-5.52	52.46	-57.6	0	0	180.36	1066	
-0.46	-5	52.49	-57.6	0	0	180.36	1066	
-0.39	-4.55	52.52	-57.6	0	0	180.36	1066	
-0.4	-4.24	52.56	-57.6	0	0	180.36	1066	
-0.41	-4.05	52.58	-57.6	0	0	180.36	1066	
-0.42	-4.01	52.6	-57.6	0	0	180.36	1066	
-0.46	-4.02	52.61	-57.6	0	0	180.36	1066	
-0.46	-4.13	52.61	-57.6	0	0	180.36	1066	
-0.44	-4.29	52.61	-57.6	0	0	180.36	1066	
-0.4	-4.44	52.61	-57.6	0	0	180.36	1066	
-0.39	-4.64	52.6	-57.6	0	0	180.36	1066	
-0.38	-4.8	52.61	-57.6	0	0	180.36	1066	
-0.43	-4.94	52.6	-57.6	0	0	180.36	1066	
-0.49	-5.03	52.62	-57.6	0	0	180.36	1066	
-0.53	-5.04	52.63	-57.6	0	0	180.36	1066	
-0.57	-5.02	52.64	-57.6	0	0	180.36	1066	
-0.57	-4.9	52.66	-57.6	0	0	180.36	1066	
-0.57	-4.76	52.68	-57.6	0	0	180.36	1066	
-0.56	-4.57	52.68	-57.5	0	0	180.36	1066	
-0.5	-4.35	52.7	-57.5	0	0	180.36	1066	
-0.43	-4.13	52.69	-57.5	0	0	180.36	1066	
-0.38	-3.87	52.72	-57.5	0	0	180.36	1066	
-0.33	-3.7	52.72	-57.5	0	0	180.36	1066	
-0.3	-3.49	52.74	-57.5	0	0	180.36	1066	
-0.23	-3.38	52.74	-57.5	0	0	180.36	1066	
-0.22	-3.26	52.76	-57.5	0	0	180.36	1066	
-0.18	-3.17	52.76	-57.4	0	0	180.36	1066	
-0.17	-3.06	52.79	-57.4	0	0	180.36	1066	
-0.14	-3	52.78	-57.4	0	0	180.36	1066	
-0.14	-2.93	52.8	-57.4	0	0	180.36	1066	
-0.15	-2.88	52.8	-57.4	0	0	180.36	1066	
-0.17	-2.84	52.79	-57.4	0	0	180.36	1066	
-0.19	-2.77	52.8	-57.4	0	0	180.36	1066	
-0.22	-2.77	52.79	-57.4	0	0	180.36	1066	
-0.22	-2.72	52.79	-57.4	0	0	180.36	1066	
-0.24	-2.7	52.79	-57.4	0	0	180.36	1066	
-0.23	-2.63	52.8	-57.4	0	0	180.36	1066	
-0.22	-2.61	52.81	-57.4	0	0	180.36	1066	
-0.21	-2.57	52.8	-57.4	0	0	180.36	1066	
-0.19	-2.53	52.81	-57.4	0	0	180.36	1066	
-0.18	-2.48	52.78	-57.4	0	0	180.36	1066	
-0.15	-2.39	52.8	-57.4	0	0	180.36	1066	
-0.14	-2.33	52.79	-57.4	0	0	180.36	1066	
-0.13	-2.22	52.82	-57.4	0	0	180.36	1066	
-0.15	-2.14	52.82	-57.4	0	0	180.36	1066	
-0.15	-2.03	52.82	-57.4	0	0	180.36	1066	
-0.18	-1.93	52.82	-57.4	0	0	180.36	1066	
-0.21	-1.86	52.82	-57.4	0	0	180.36	1066	
-0.24	-1.75	52.83	-57.5	0	0	180.36	1066	
-0.27	-1.71	52.81	-57.5	0	0	180.36	1066	
-0.3	-1.61	52.82	-57.5	0	0	180.36	1066	
-0.33	-1.55	52.83	-57.5	0	0	180.36	1066	
-0.37	-1.5	52.83	-57.5	0	0	180.36	1066	
-0.38	-1.44	52.85	-57.5	0	0	180.36	1066	
-0.41	-1.4	52.85	-57.5	0	0	180.36	1066	
-0.42	-1.34	52.86	-57.5	0	0	180.36	1066	
-0.43	-1.32	52.88	-57.4	0	0	180.36	1066	
-0.43	-1.3	52.89	-57.4	0	0	180.36	1066	
-0.43	-1.27	52.92	-57.4	0	0	180.36	1066	
-0.45	-1.27	52.93	-57.4	0	0	180.36	1066	
-0.44	-1.25	52.96	-57.4	0	0	180.36	1066	
-0.47	-1.25	52.95	-57.4	0	0	180.36	1066	
-0.44	-1.25	52.97	-57.4	0	0	180.36	1066	
-0.46	-1.22	52.97	-57.4	0	0	180.36	1066	
-0.43	-1.24	52.98	-57.4	0	0	180.36	1066	
-0.39	-1.25	53.01	-57.4	0	0	180.36	1066	
-0.39	-1.26	53	-57.4	0	0	180.36	1066	
-0.38	-1.24	53.01	-57.4	0	0	180.36	1066	
-0.37	-1.24	53.01	-57.4	0	0	180.36	1066	
-0.38	-1.22	53.01	-57.4	0	0	180.36	1066	
-0.37	-1.18	53.01	-57.4	0	0	180.36	1066	
-0.37	-1.18	53.01	-57.4	0	0	180.36	1066	
-0.39	-1.13	53.01	-57.4	0	0	180.36	1066	
-0.37	-1.1	53.01	-57.4	0	0	180.36	1066	
-0.34	-1.11	53.01	-57.4	0	0	180.36	1066	
-0.34	-1.06	53	-57.4	0	0	180.36	1066	
-0.31	-1.03	53	-57.4	0	0	180.36	1066	
-0.32	-0.95	52.98	-57.4	0	0	180.36	1066	
-0.29	-0.91	52.96	-57.4	0	0	180.36	1066	
-0.29	-0.85	52.94	-57.4	0	0	180.36	1066	
-0.28	-0.78	52.93	-57.4	0	0	180.36	1066	
-0.25	-0.75	52.91	-57.4	0	0	180.36	1066	
-0.24	-0.66	52.9	-57.4	0	0	180.36	1066	
-0.24	-0.58	52.87	-57.4	0	0	180.36	1066	
-0.23	-0.51	52.83	-57.4	0	0	180.36	1066	
-0.25	-0.43	52.82	-57.4	0	0	180.36	1066	
-0.26	-0.36	52.8	-57.4	0	0	180.36	1066	
-0.28	-0.28	52.79	-57.4	0	0	180.36	1066	
-0.29	-0.17	52.79	-57.4	0	0	180.36	1066	
-0.28	-0.09	52.76	-57.4	0	0	180.36	1066	
-0.28	0	52.74	-57.4	0	0	180.36	1066	
-0.27	0.1	52.73	-57.4	0	0	180.36	1066	
-0.26	0.15	52.69	-57.4	0	0	180.36	1066	
-0.25	0.19	52.68	-57.4	0	0	180.36	1066	
-0.23	0.16	52.69	-57.4	0	0	180.36	1066	
-0.23	0.04	52.68	-57.4	0	0	180.36	1066	
-0.25	-0.11	52.66	-57.4	0	0.01	180.36	1066	
-0.23	-0.34	52.64	-57.4	0	0.02	180.36	1066	
-0.23	-0.59	52.61	-57.4	0	0.03	180.36	1066	
-0.18	-0.95	52.58	-57.4	0	0.04	180.36	1066	
-0.19	-1.21	52.56	-57.4	0	0.05	180.36	1066	
-0.13	-1.5	52.52	-57.4	0	0.06	180.36	1066	
-0.1	-1.69	52.52	-57.4	0	0.07	180.36	1066	
-0.11	-1.83	52.49	-57.4	0	0.08	180.36	1066	
-0.15	-1.89	52.48	-57.4	0	0.09	180.36	1066	
-0.18	-1.91	52.47	-57.4	0	0.1	180.36	1066	
-0.25	-1.79	52.46	-57.4	0	0.11	180.36	1066	
-0.28	-1.66	52.47	-57.4	0	0.12	180.36	1066	
-0.29	-1.47	52.46	-57.4	0	0.13	180.36	1066	
-0.3	-1.23	52.47	-57.4	0	0.14	180.36	1066	
-0.27	-0.99	52.48	-57.4	0	0.15	180.36	1066	
-0.18	-0.83	52.48	-57.4	0	0.16	180.36	1066	
-0.12	-0.73	52.5	-57.4	0	0.17	180.36	1066	
-0.12	-0.67	52.5	-57.4	0	0.18	180.36	1066	
-0.11	-0.77	52.5	-57.4	0	0.19	180.36	1066	
-0.13	-0.94	52.48	-57.4	0	0.2	180.36	1066	
-0.16	-1.16	52.46	-57.4	0	0.21	180.36	1066	
-0.21	-1.35	52.45	-57.4	0	0.22	180.36	1066	
-0.24	-1.61	52.42	-57.4	0	0.23	180.36	1066	
-0.25	-1.85	52.4	-57.4	0	0.24	180.36	1066	
-0.24	-1.99	52.42	-57.4	0	0.25	180.36	1066	
-0.27	-2.07	52.41	-57.5	0	0.26	180.36	1066	
-0.28	-2.14	52.42	-57.5	0	0.27	180.36	1066	
-0.32	-2.11	52.41	-57.5	0	0.28	180.36	1066	
-0.32	-1.97	52.41	-57.5	0	0.29	180.36	1066	
